#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
2.292911700000000152e+01	9.921395200000000525e-01	-2.308222600000000083e-02	9.621863200000000393e-01	-4.247871300000000128e-02	1.021038700000000077e+00	-4.790901799999999593e-03
2.421081300000000169e+01	9.901874099999999901e-01	-2.099462499999999940e-02	9.623014399999999524e-01	-3.721541200000000327e-02	1.017589499999999925e+00	-5.174390899999999939e-03
2.556415399999999849e+01	9.886646900000000127e-01	-1.872812299999999930e-02	9.631709099999999912e-01	-3.297259300000000143e-02	1.013904099999999975e+00	-4.356639699999999629e-03
2.699314400000000091e+01	9.874729100000000370e-01	-1.619731599999999980e-02	9.646076799999999674e-01	-2.966470699999999849e-02	1.010383899999999890e+00	-2.779673400000000003e-03
2.850201200000000057e+01	9.868501499999999815e-01	-1.379874199999999926e-02	9.665072300000000505e-01	-2.697704600000000105e-02	1.007119700000000062e+00	-8.715381299999999578e-04
3.009522300000000072e+01	9.864987100000000009e-01	-1.141233499999999915e-02	9.683262900000000339e-01	-2.455711799999999931e-02	1.004264400000000057e+00	1.684872800000000075e-03
3.177749100000000126e+01	9.863144400000000145e-01	-9.027333499999999969e-03	9.697824900000000525e-01	-2.224459800000000084e-02	1.002105000000000024e+00	4.201961300000000253e-03
3.355379599999999840e+01	9.863475400000000226e-01	-6.670063799999999786e-03	9.711665299999999723e-01	-2.004045499999999869e-02	1.001059499999999991e+00	6.743988599999999577e-03
3.542939200000000000e+01	9.865289400000000208e-01	-4.403883899999999803e-03	9.721624399999999611e-01	-1.782284599999999983e-02	1.001063500000000106e+00	8.981677299999999212e-03
3.740983200000000153e+01	9.872784500000000296e-01	-2.328072799999999880e-03	9.728424700000000147e-01	-1.567238099999999912e-02	1.001988600000000007e+00	1.099585900000000019e-02
3.950097399999999936e+01	9.881678900000000487e-01	-3.867901599999999857e-04	9.732090799999999486e-01	-1.379252100000000029e-02	1.003863200000000067e+00	1.266530800000000012e-02
4.170900699999999972e+01	9.893968800000000341e-01	1.203615199999999961e-03	9.735514199999999452e-01	-1.206476700000000055e-02	1.005957900000000071e+00	1.403365200000000063e-02
4.404046499999999753e+01	9.907161300000000281e-01	2.508955700000000018e-03	9.741083200000000275e-01	-1.066788899999999984e-02	1.008437800000000051e+00	1.510135500000000033e-02
4.650224699999999700e+01	9.923063399999999534e-01	3.482192600000000044e-03	9.747270500000000393e-01	-9.276376600000000444e-03	1.010772800000000027e+00	1.588411099999999937e-02
4.910163899999999870e+01	9.938812299999999489e-01	4.043381199999999606e-03	9.755702800000000119e-01	-8.256193599999999549e-03	1.013101999999999947e+00	1.640824999999999922e-02
5.184633199999999675e+01	9.955520300000000322e-01	4.029801999999999863e-03	9.769693400000000194e-01	-8.187247999999999401e-03	1.014802999999999900e+00	1.683223899999999884e-02
5.474444799999999844e+01	9.970521599999999651e-01	3.991155799999999976e-03	9.783506600000000386e-01	-8.513571299999999828e-03	1.016173699999999958e+00	1.682235500000000064e-02
5.780456399999999917e+01	9.981955500000000425e-01	3.588343099999999949e-03	9.799488499999999824e-01	-9.261661799999999431e-03	1.017040200000000061e+00	1.692815500000000029e-02
6.103573500000000251e+01	9.991071700000000444e-01	3.043324200000000097e-03	9.813832300000000508e-01	-1.036420099999999997e-02	1.017476499999999895e+00	1.684771399999999975e-02
6.444752200000000641e+01	9.998639299999999563e-01	2.333692400000000194e-03	9.829617699999999569e-01	-1.178063000000000027e-02	1.017379400000000045e+00	1.691164800000000135e-02
6.805002199999999846e+01	1.000297900000000073e+00	1.598680699999999915e-03	9.844185800000000430e-01	-1.317554200000000016e-02	1.016871999999999998e+00	1.670230099999999926e-02
7.185389600000000598e+01	1.000410500000000091e+00	1.000357400000000032e-03	9.857698200000000188e-01	-1.425482900000000011e-02	1.015853799999999918e+00	1.662028600000000148e-02
7.587039900000000614e+01	1.000437400000000032e+00	4.778649700000000178e-04	9.869449799999999717e-01	-1.547476599999999917e-02	1.014513299999999951e+00	1.652426800000000168e-02
8.011141700000000299e+01	1.000222100000000003e+00	1.654185100000000094e-05	9.881280000000000063e-01	-1.627022100000000138e-02	1.012855300000000014e+00	1.673866099999999843e-02
8.458950099999999850e+01	9.999812099999999537e-01	-1.677338300000000054e-04	9.889415799999999868e-01	-1.697774999999999979e-02	1.011249000000000065e+00	1.664908500000000097e-02
8.931790100000000621e+01	9.996556300000000173e-01	-3.022436699999999786e-04	9.895310800000000073e-01	-1.718165400000000106e-02	1.009842499999999976e+00	1.668253199999999992e-02
9.431060999999999694e+01	9.993152100000000093e-01	-3.600885599999999838e-04	9.896734400000000154e-01	-1.704658800000000141e-02	1.008991299999999924e+00	1.663842800000000025e-02
9.958240299999999934e+01	9.988865300000000502e-01	-2.209701200000000019e-04	9.896789700000000467e-01	-1.662807200000000069e-02	1.008378400000000008e+00	1.636388100000000026e-02
1.051488800000000055e+02	9.985523800000000172e-01	-3.740694100000000144e-05	9.891224100000000075e-01	-1.594080299999999992e-02	1.008233300000000110e+00	1.591022500000000006e-02
1.110265100000000018e+02	9.976337299999999964e-01	1.121444899999999960e-03	9.874862100000000309e-01	-1.460112300000000057e-02	1.008066099999999965e+00	1.675337299999999849e-02
1.172326900000000052e+02	9.982304199999999517e-01	7.887268900000000320e-04	9.873453899999999894e-01	-1.331131099999999928e-02	1.009344100000000077e+00	1.483567000000000045e-02
1.237857900000000058e+02	9.980165699999999918e-01	1.387963799999999926e-03	9.862586100000000355e-01	-1.153332699999999947e-02	1.010401300000000058e+00	1.411905500000000015e-02
1.307051899999999875e+02	9.980328200000000427e-01	2.068793800000000033e-03	9.852516199999999946e-01	-9.855340799999999166e-03	1.011412399999999989e+00	1.338453600000000070e-02
1.380113800000000026e+02	9.982644800000000096e-01	2.619598700000000131e-03	9.846299400000000368e-01	-8.005801700000000562e-03	1.012284500000000032e+00	1.276915399999999957e-02
1.457259599999999864e+02	9.985828900000000008e-01	3.244563299999999890e-03	9.843222299999999647e-01	-6.188661600000000020e-03	1.013143600000000033e+00	1.223930800000000083e-02
1.538717800000000011e+02	9.990182699999999860e-01	3.750569400000000175e-03	9.845855900000000105e-01	-4.627880699999999820e-03	1.013721199999999989e+00	1.191761300000000051e-02
1.624729399999999941e+02	9.996893999999999503e-01	4.196299100000000157e-03	9.851979400000000497e-01	-3.559235600000000208e-03	1.014167400000000052e+00	1.168847999999999936e-02
1.715548799999999972e+02	1.000463499999999950e+00	4.033278300000000052e-03	9.864638300000000415e-01	-2.921424299999999825e-03	1.014456500000000094e+00	1.093268300000000033e-02
1.811444899999999905e+02	1.001030700000000051e+00	4.139279400000000185e-03	9.874192699999999601e-01	-2.247570200000000018e-03	1.014717300000000044e+00	1.043760000000000000e-02
1.912701399999999978e+02	1.001553200000000032e+00	4.007536600000000115e-03	9.884809199999999851e-01	-1.813825700000000051e-03	1.015002900000000041e+00	9.759849799999999534e-03
2.019617900000000077e+02	1.001962699999999984e+00	3.786246100000000090e-03	9.894252000000000047e-01	-1.661918399999999995e-03	1.014929100000000028e+00	9.006505999999999193e-03
2.132510900000000049e+02	1.002150000000000096e+00	3.450820700000000081e-03	9.903136200000000056e-01	-1.682583799999999921e-03	1.014806099999999933e+00	8.366041299999999944e-03
2.251714399999999898e+02	1.002210400000000057e+00	3.127733800000000002e-03	9.911387900000000473e-01	-1.798012400000000011e-03	1.014332699999999976e+00	7.756181899999999886e-03
2.377581199999999910e+02	1.002327100000000026e+00	2.814481399999999890e-03	9.916704299999999916e-01	-1.978768399999999809e-03	1.013929300000000033e+00	7.350789899999999807e-03
2.510483700000000056e+02	1.002325399999999922e+00	2.483057700000000124e-03	9.921068699999999740e-01	-2.146294899999999853e-03	1.013490500000000072e+00	7.035139200000000217e-03
2.650815200000000118e+02	1.002161099999999916e+00	2.221117500000000054e-03	9.922714000000000256e-01	-2.291827099999999787e-03	1.012908600000000048e+00	6.720476100000000001e-03
2.798990999999999758e+02	1.002080800000000105e+00	2.023719800000000051e-03	9.923718200000000156e-01	-2.438917000000000081e-03	1.012340500000000088e+00	6.438247000000000241e-03
2.955449499999999716e+02	1.001937499999999925e+00	1.857670500000000021e-03	9.924555099999999852e-01	-2.515696699999999796e-03	1.011743599999999965e+00	6.218561299999999722e-03
3.120653800000000047e+02	1.001739399999999947e+00	1.797737200000000058e-03	9.925186099999999678e-01	-2.493019700000000203e-03	1.011195999999999984e+00	6.115591400000000219e-03
3.295092700000000150e+02	1.001258699999999946e+00	1.730357399999999995e-03	9.921805700000000394e-01	-2.469254299999999822e-03	1.010534199999999938e+00	6.047797899999999595e-03
3.479282499999999914e+02	1.000793000000000044e+00	1.803698999999999971e-03	9.918493499999999630e-01	-2.389407499999999813e-03	1.009901600000000066e+00	6.160621199999999874e-03
3.673768099999999777e+02	1.000319799999999981e+00	2.027896700000000191e-03	9.914408200000000004e-01	-2.219731700000000200e-03	1.009309400000000023e+00	6.338148600000000250e-03
3.879125099999999975e+02	9.996932699999999672e-01	2.461061100000000099e-03	9.909066100000000210e-01	-2.019888400000000202e-03	1.008774300000000013e+00	6.998402699999999726e-03
4.095961199999999849e+02	1.001143600000000022e+00	4.886963999999999718e-03	9.919275800000000309e-01	-1.418209299999999913e-04	1.010459500000000066e+00	9.844139999999999488e-03
4.324918000000000120e+02	9.989615299999999865e-01	4.453999299999999821e-03	9.898884100000000519e-01	-1.193026000000000026e-03	1.008201799999999926e+00	1.000171000000000046e-02
4.566673099999999863e+02	1.000126400000000082e+00	7.255088699999999620e-03	9.905357599999999874e-01	3.965875199999999851e-04	1.009522199999999925e+00	1.397201699999999977e-02
4.821941899999999919e+02	1.004780500000000076e+00	4.629346299999999997e-03	9.943793699999999847e-01	-7.476793399999999510e-04	1.014723599999999948e+00	9.945766999999999455e-03
5.091479699999999866e+02	1.002847000000000044e+00	5.325878600000000240e-03	9.927878799999999559e-01	-9.599791000000000530e-04	1.012852899999999945e+00	1.150180599999999984e-02
5.376084299999999985e+02	1.005158699999999961e+00	6.092532700000000134e-03	9.942586799999999503e-01	-5.311631599999999806e-04	1.015918400000000110e+00	1.264483100000000047e-02
5.676597699999999804e+02	1.003294600000000036e+00	3.833120399999999893e-03	9.930768599999999502e-01	-2.893387299999999971e-03	1.013532199999999994e+00	1.047711999999999949e-02
5.993909200000000510e+02	1.003024499999999986e+00	4.934119499999999568e-03	9.927488199999999763e-01	-2.694581900000000019e-03	1.013531399999999971e+00	1.239548600000000070e-02
6.328957900000000336e+02	1.004130500000000037e+00	5.543199599999999727e-03	9.933042199999999600e-01	-2.584198099999999824e-03	1.015031400000000028e+00	1.357906300000000059e-02
6.682735300000000507e+02	1.005379800000000046e+00	5.392107499999999887e-03	9.941220499999999793e-01	-2.857048599999999824e-03	1.016743299999999905e+00	1.366029499999999938e-02
7.056288100000000441e+02	1.006408699999999934e+00	4.852084100000000032e-03	9.949352599999999880e-01	-3.432138300000000045e-03	1.017944799999999983e+00	1.312167199999999916e-02
7.450721899999999778e+02	1.007105600000000045e+00	4.153320999999999749e-03	9.955895999999999635e-01	-4.181636499999999597e-03	1.018810699999999958e+00	1.243775299999999931e-02
7.867203799999999774e+02	1.007600899999999911e+00	3.430398400000000004e-03	9.960135799999999540e-01	-5.044284199999999642e-03	1.019349800000000084e+00	1.189509600000000084e-02
8.306966200000000526e+02	1.007997899999999891e+00	2.844552099999999792e-03	9.962535599999999825e-01	-5.946771800000000274e-03	1.019927100000000086e+00	1.159594899999999949e-02
8.771310700000000224e+02	1.008442499999999908e+00	2.257628099999999839e-03	9.963364700000000296e-01	-6.945694399999999789e-03	1.020643200000000084e+00	1.172234599999999981e-02
9.261611100000000079e+02	1.009120999999999935e+00	1.831609400000000021e-03	9.964219899999999797e-01	-8.116009199999999618e-03	1.021923499999999985e+00	1.197713199999999971e-02
9.779318399999999656e+02	1.009750699999999890e+00	1.193673900000000003e-03	9.961736100000000427e-01	-9.932877799999999952e-03	1.023172200000000087e+00	1.220791499999999974e-02
1.032596500000000106e+03	1.010195200000000071e+00	5.710808500000000331e-04	9.955812499999999732e-01	-1.203633100000000081e-02	1.024936599999999975e+00	1.266552299999999971e-02
1.090316700000000083e+03	1.010637500000000077e+00	-2.421527099999999904e-04	9.945640799999999615e-01	-1.437010000000000023e-02	1.026678800000000003e+00	1.338923900000000070e-02
1.151263500000000022e+03	1.011177999999999910e+00	-1.056340800000000069e-03	9.932519699999999840e-01	-1.706706300000000037e-02	1.028897200000000067e+00	1.470797199999999971e-02
1.215616999999999962e+03	1.011601500000000042e+00	-2.086066799999999975e-03	9.916433000000000053e-01	-2.020437799999999853e-02	1.031504600000000105e+00	1.618925400000000014e-02
1.283567800000000034e+03	1.011937400000000098e+00	-2.968413000000000041e-03	9.893042199999999564e-01	-2.380208300000000166e-02	1.034430200000000077e+00	1.806633599999999881e-02
1.355317000000000007e+03	1.011973500000000081e+00	-3.863914700000000216e-03	9.866894999999999971e-01	-2.809493500000000143e-02	1.037525599999999937e+00	2.017254400000000059e-02
1.431076700000000073e+03	1.012061600000000006e+00	-5.026342900000000356e-03	9.837424200000000063e-01	-3.257910399999999762e-02	1.041211099999999945e+00	2.256535499999999875e-02
1.511071300000000065e+03	1.011999400000000104e+00	-6.009438199999999827e-03	9.802312800000000381e-01	-3.762482799999999905e-02	1.045013600000000098e+00	2.536288299999999926e-02
1.595537499999999909e+03	1.011996200000000012e+00	-6.728128499999999623e-03	9.761286799999999708e-01	-4.261540199999999667e-02	1.049092600000000042e+00	2.841013200000000113e-02
1.684725200000000086e+03	1.011764099999999944e+00	-7.778736999999999978e-03	9.717130200000000384e-01	-4.825516900000000053e-02	1.053751499999999952e+00	3.167263199999999917e-02
1.778898200000000088e+03	1.011713400000000096e+00	-8.969375800000000190e-03	9.669390399999999719e-01	-5.381008999999999792e-02	1.058616800000000024e+00	3.524570500000000217e-02
1.878335399999999936e+03	1.011098400000000064e+00	-9.937616300000000347e-03	9.623268900000000459e-01	-5.983902700000000296e-02	1.063617800000000058e+00	3.919631900000000030e-02
1.983330999999999904e+03	1.010028699999999890e+00	-1.082735800000000047e-02	9.570043400000000089e-01	-6.617581799999999737e-02	1.069545200000000085e+00	4.392239700000000191e-02
2.094195600000000013e+03	1.009311999999999987e+00	-1.166505500000000056e-02	9.514532199999999884e-01	-7.262517899999999804e-02	1.074755700000000092e+00	4.810101800000000233e-02
2.211257399999999961e+03	1.008432800000000018e+00	-1.274464600000000010e-02	9.454246099999999986e-01	-7.936933999999999656e-02	1.080853400000000075e+00	5.293163499999999771e-02
2.334862700000000132e+03	1.007699200000000017e+00	-1.385658700000000007e-02	9.393053099999999489e-01	-8.643813300000000033e-02	1.086887600000000065e+00	5.809464999999999768e-02
2.465377300000000105e+03	1.006442400000000070e+00	-1.525737999999999921e-02	9.325565900000000186e-01	-9.372269099999999686e-02	1.093753100000000034e+00	6.349239299999999420e-02
2.603187399999999798e+03	1.005013200000000051e+00	-1.643628499999999840e-02	9.264272500000000354e-01	-1.011434100000000030e-01	1.100420699999999918e+00	7.002301399999999454e-02
