#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
1.538717800000000011e+02	9.965260599999999913e-01	6.112227399999999727e-03	9.761442299999999461e-01	-1.830175100000000152e-02	1.017581400000000080e+00	2.957488900000000004e-02
1.624729399999999941e+02	9.972318300000000413e-01	6.870152299999999698e-03	9.748383200000000359e-01	-1.496189399999999989e-02	1.020081100000000074e+00	2.795283999999999963e-02
1.715548799999999972e+02	9.981756999999999991e-01	7.677705600000000151e-03	9.741551099999999908e-01	-1.108585899999999999e-02	1.022291000000000061e+00	2.581217900000000107e-02
1.811444899999999905e+02	9.991475100000000165e-01	8.175913400000000067e-03	9.743068200000000179e-01	-7.315656700000000047e-03	1.023849800000000032e+00	2.316518600000000080e-02
1.912701399999999978e+02	1.000195100000000004e+00	8.246523699999999332e-03	9.757976400000000217e-01	-3.998462900000000243e-03	1.024499400000000060e+00	2.029592599999999886e-02
2.019617900000000077e+02	1.001152700000000006e+00	8.036933399999999714e-03	9.780884199999999584e-01	-1.701563300000000006e-03	1.024212700000000087e+00	1.781318499999999874e-02
2.132510900000000049e+02	1.001870000000000038e+00	7.604754099999999628e-03	9.806181899999999452e-01	-5.849834400000000507e-04	1.023008700000000104e+00	1.580789200000000047e-02
2.251714399999999898e+02	1.002323400000000087e+00	7.165578300000000241e-03	9.831569599999999687e-01	-3.175103000000000083e-04	1.021489899999999951e+00	1.447603100000000031e-02
2.377581199999999910e+02	1.002654699999999899e+00	6.728160199999999591e-03	9.854824500000000098e-01	-3.165181600000000189e-04	1.019606800000000035e+00	1.360496100000000048e-02
2.510483700000000056e+02	1.002578699999999934e+00	6.407327600000000192e-03	9.872384199999999499e-01	-5.370975200000000340e-04	1.017902800000000108e+00	1.304728100000000085e-02
2.650815200000000118e+02	1.002485999999999988e+00	6.052176400000000393e-03	9.888735400000000508e-01	-8.437775699999999811e-04	1.016209899999999999e+00	1.259657500000000048e-02
2.798990999999999758e+02	1.002130900000000047e+00	5.491846499999999617e-03	9.902655900000000289e-01	-1.385017799999999945e-03	1.014188300000000043e+00	1.211252900000000035e-02
2.955449499999999716e+02	1.000266099999999936e+00	4.631719099999999888e-03	9.896544900000000533e-01	-3.392472100000000143e-03	1.011183200000000060e+00	1.282207399999999928e-02
3.120653800000000047e+02	1.000284500000000021e+00	6.561085900000000228e-03	9.885293699999999628e-01	-2.048935799999999832e-03	1.012386500000000078e+00	1.513896999999999986e-02
3.295092700000000150e+02	1.001506900000000089e+00	8.859838199999999289e-03	9.859687099999999704e-01	1.162218600000000006e-03	1.017221200000000048e+00	1.653055200000000044e-02
3.479282499999999914e+02	1.002124500000000085e+00	7.796534800000000202e-03	9.892526000000000375e-01	6.278547200000000059e-04	1.015238499999999933e+00	1.485644300000000043e-02
